Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
487570,KR7487570004,HS효성,KOSPI,,-,0,,,,,,,,,3725927,STK,ME005
298050,KR7298050006,HS효성첨단소재,KOSPI,,-,0,,,,,,,,,4479948,STK,ME005
015360,KR7015360001,INVENI,KOSPI,,-,0,,,,,,,,,27250000,STK,ME005
294870,KR7294870001,IPARK현대산업개발,KOSPI,,-,0,,,,,,,,,65907330,STK,ME005
175330,KR7175330000,JB금융지주,KOSPI,,-,0,,,,,,,,,186521824,STK,ME005
234080,KR7234080000,JW생명과학,KOSPI,,-,0,,,,,,,,,15834554,STK,ME005
001060,KR7001060003,JW중외제약,KOSPI,,-,0,,,,,,,,,23285930,STK,ME005
001067,KR7001062009,JW중외제약2우B,KOSPI,,-,0,,,,,,,,,209973,STK,ME005
001065,KR7001061001,JW중외제약우,KOSPI,,-,0,,,,,,,,,341951,STK,ME005
096760,KR7096760004,JW홀딩스,KOSPI,,-,0,,,,,,,,,73924942,STK,ME005
008970,KR7008970006,KBI동양철관,KOSPI,,-,0,,,,,,,,,103766907,STK,ME005
105560,KR7105560007,KB금융,KOSPI,,-,0,,,,,,,,,354687734,STK,ME005
415640,KR7415640002,KB발해인프라,KOSPI,,-,0,,,,,,,,,122545548,STK,ME005
432320,KR7432320000,KB스타리츠,KOSPI,,-,0,,,,,,,,,150764285,STK,ME005
002380,KR7002380004,KCC,KOSPI,,-,0,,,,,,,,,8592896,STK,ME005
344820,KR7344820006,KCC글라스,KOSPI,,-,0,,,,,,,,,15970512,STK,ME005
009070,KR7009070004,KCTC,KOSPI,,-,0,,,,,,,,,30000000,STK,ME005
009440,KR7009440009,KC그린홀딩스,KOSPI,,-,0,,,,,,,,,23239141,STK,ME005
119650,KR7119650000,KC코트렐,KOSPI,,-,0,,,,,,,,,109785309,STK,ME005
092220,KR7092220003,KEC,KOSPI,,-,0,,,,,,,,,40152628,STK,ME005
003620,KR7003620002,KG모빌리티,KOSPI,,-,0,,,,,,,,,202374912,STK,ME005
016380,KR7016380008,KG스틸,KOSPI,,-,0,,,,,,,,,100008897,STK,ME005
001390,KR7001390004,KG케미칼,KOSPI,,-,0,,,,,,,,,66403636,STK,ME005
001940,KR7001940006,KISCO홀딩스,KOSPI,,-,0,,,,,,,,,14176380,STK,ME005
025000,KR7025000001,KPX케미칼,KOSPI,,-,0,,,,,,,,,4146735,STK,ME005
092230,KR7092230002,KPX홀딩스,KOSPI,,-,0,,,,,,,,,4224646,STK,ME005
000040,KR7000040006,KR모터스,KOSPI,,-,0,,,,,,,,,19675036,STK,ME005
044450,KR7044450005,KSS해운,KOSPI,,-,0,,,,,,,,,22577525,STK,ME005
030200,KR7030200000,KT,KOSPI,,-,0,,,,,,,,,252021685,STK,ME005
033780,KR7033780008,KT&G,KOSPI,,-,0,,,,,,,,,103810456,STK,ME005
058850,KR7058850009,KTcs,KOSPI,,-,0,,,,,,,,,41404450,STK,ME005
058860,KR7058860008,KTis,KOSPI,,-,0,,,,,,,,,34802000,STK,ME005
093050,KR7093050003,LF,KOSPI,,-,0,,,,,,,,,29240000,STK,ME005
003550,KR7003550001,LG,KOSPI,,-,0,,,,,,,,,151192004,STK,ME005
034220,KR7034220004,LG디스플레이,KOSPI,,-,0,,,,,,,,,500000000,STK,ME005
051900,KR7051900009,LG생활건강,KOSPI,,-,0,,,,,,,,,14975523,STK,ME005
051905,KR7051901007,LG생활건강우,KOSPI,,-,0,,,,,,,,,2096259,STK,ME005
064400,KR7064400005,LG씨엔에스,KOSPI,,-,0,,,,,,,,,96885948,STK,ME005
373220,KR7373220003,LG에너지솔루션,KOSPI,,-,0,,,,,,,,,234000000,STK,ME005
003555,KR7003551009,LG우,KOSPI,,-,0,,,,,,,,,3011199,STK,ME005
032640,KR7032640005,LG유플러스,KOSPI,,-,0,,,,,,,,,424427732,STK,ME005
011070,KR7011070000,LG이노텍,KOSPI,,-,0,,,,,,,,,23667107,STK,ME005
066570,KR7066570003,LG전자,KOSPI,,-,0,,,,,,,,,162884638,STK,ME005
066575,KR7066571001,LG전자우,KOSPI,,-,0,,,,,,,,,17181299,STK,ME005
037560,KR7037560000,LG헬로비전,KOSPI,,-,0,,,,,,,,,77446865,STK,ME005
051910,KR7051910008,LG화학,KOSPI,,-,0,,,,,,,,,70592343,STK,ME005
051915,KR7051911006,LG화학우,KOSPI,,-,0,,,,,,,,,7688800,STK,ME005
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,-,0,,,,,,,,,22000000,STK,ME005
006260,KR7006260004,LS,KOSPI,,-,0,,,,,,,,,31200000,STK,ME005
010120,KR7010120004,LS ELECTRIC,KOSPI,,-,0,,,,,,,,,150000000,STK,ME005
000680,KR7000680009,LS네트웍스,KOSPI,,-,0,,,,,,,,,78803016,STK,ME005
229640,KR7229640008,LS에코에너지,KOSPI,,-,0,,,,,,,,,30624879,STK,ME005
108320,KR7108320003,LX세미콘,KOSPI,,-,0,,,,,,,,,16264300,STK,ME005
001120,KR7001120005,LX인터내셔널,KOSPI,,-,0,,,,,,,,,38760000,STK,ME005
108670,KR7108670001,LX하우시스,KOSPI,,-,0,,,,,,,,,8967670,STK,ME005
108675,KR7108671009,LX하우시스우,KOSPI,,-,0,,,,,,,,,1032330,STK,ME005
383800,KR7383800000,LX홀딩스,KOSPI,,-,0,,,,,,,,,76280690,STK,ME005
38380K,KR738380K012,LX홀딩스1우,KOSPI,,-,0,,,,,,,,,1465285,STK,ME005
009810,KR7009810003,MDS스피어,KOSPI,,-,0,,,,,,,,,20351656,STK,ME005
023150,KR7023150006,MH에탄올,KOSPI,,-,0,,,,,,,,,6201433,STK,ME005
035420,KR7035420009,NAVER,KOSPI,,-,0,,,,,,,,,152094369,STK,ME005
036570,KR7036570000,NC,KOSPI,,-,0,,,,,,,,,21544022,STK,ME005
181710,KR7181710005,NHN,KOSPI,,-,0,,,,,,,,,32328965,STK,ME005
400760,KR7400760005,NH올원리츠,KOSPI,,-,0,,,,,,,,,54929275,STK,ME005
005940,KR7005940002,NH투자증권,KOSPI,,-,0,,,,,,,,,369206105,STK,ME005
005945,KR7005941000,NH투자증권우,KOSPI,,-,0,,,,,,,,,18870968,STK,ME005
338100,KR7338100001,NH프라임리츠,KOSPI,,-,0,,,,,,,,,18660000,STK,ME005
034310,KR7034310003,NICE,KOSPI,,-,0,,,,,,,,,36757157,STK,ME005
030190,KR7030190003,NICE평가정보,KOSPI,,-,0,,,,,,,,,58268741,STK,ME005
008260,KR7008260002,NI스틸,KOSPI,,-,0,,,,,,,,,28600117,STK,ME005
004250,KR7004250007,NPC,KOSPI,,-,0,,,,,,,,,36720000,STK,ME005
004255,KR7004251005,NPC우,KOSPI,,-,0,,,,,,,,,5280000,STK,ME005
456040,KR7456040005,OCI,KOSPI,,-,0,,,,,,,,,8952495,STK,ME005
010060,KR7010060002,OCI홀딩스,KOSPI,,-,0,,,,,,,,,18670232,STK,ME005
178920,KR7178920005,PI첨단소재,KOSPI,,-,0,,,,,,,,,29366322,STK,ME005
001340,KR7001340009,PKC,KOSPI,,-,0,,,,,,,,,45028089,STK,ME005
005490,KR7005490008,POSCO홀딩스,KOSPI,,-,0,,,,,,,,,79241527,STK,ME005
010950,KR7010950004,S-Oil,KOSPI,,-,0,,,,,,,,,112582792,STK,ME005
010955,KR7010951002,S-Oil우,KOSPI,,-,0,,,,,,,,,4021927,STK,ME005
034120,KR7034120006,SBS,KOSPI,,-,0,,,,,,,,,18551238,STK,ME005
003080,KR7003080009,SB성보,KOSPI,,-,0,,,,,,,,,20020000,STK,ME005
005090,KR7005090006,SGC에너지,KOSPI,,-,0,,,,,,,,,14409333,STK,ME005
001380,KR7001380005,SG글로벌,KOSPI,,-,0,,,,,,,,,22482071,STK,ME005
