Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
600282,NanJing Iron & Steel Co Ltd Class A,51201020,철 및 강철,27003098628,"5조 4,500억원",CNY
603939,Yifeng Pharmacy Chain Co.  Ltd. Class A,54301010,의약품 소매,26915113189,"5조 4,323억원",CNY
601880,Liaoning Port Co Ltd Class A,52407020,항만 운영 및 서비스,26883054772,"5조 4,258억원",CNY
603618,Hangzhou Cable Co Ltd Class A,52102030,전기 부품 및 장비,26818460145,"5조 4,128억원",CNY
600961,Zhuzhou Smelter Group Co Ltd Class A,51201050,특수 채굴 및 금속,26735987759,"5조 3,961억원",CNY
603688,Jiangsu Pacific Quartz Co Ltd Class A,57104010,전자 장비 및 부품,26710156431,"5조 3,909억원",CNY
603119,Zhejiang Rongtai Electric Material Co Ltd Class A,52102030,전기 부품 및 장비,26612558999,"5조 3,712억원",CNY
601000,Tangshan Port Group Co Ltd Class A,52407020,항만 운영 및 서비스,25837048757,"5조 2,147억원",CNY
603991,Shenzhen Leading Semiconductor Industry Co.  Ltd. Class A,51101030,특수 화학제,25762128077,"5조 1,996억원",CNY
688018,Espressif Systems (Shanghai) Co.  Ltd. Class A,57101010,반도체,28969900840,"5조 8,470억원",CNY
688123,Giantec Semiconductor Corp Class A,57101010,반도체,27215748573,"5조 4,930억원",CNY
688608,Bestechnic Shanghai Co Ltd Class A,57101010,반도체,26761016730,"5조 4,012억원",CNY
600369,Southwest Securities Co Ltd Class A,55102010,투자 은행 및 중개 서비스,26513985405,"5조 3,513억원",CNY
600312,Henan Pinggao Electric Co Ltd Class A,52102040,중전기장비,26188581264,"5조 2,856억원",CNY
603596,Bethel Automotive Safety Systems Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품",26166255205,"5조 2,811억원",CNY
688599,Trina Solar Co.  Ltd. Class A,50201010,재생 가능 에너지 장비 및 서비스,26096204022,"5조 2,670억원",CNY
603160,Shenzhen Goodix Technology Co Ltd Class A,57101010,반도체,26095034280,"5조 2,668억원",CNY
600299,Bluestar Adisseo Co Class A,56201040,제약,25931741344,"5조 2,338억원",CNY
600095,Xiangcai Co Ltd Class A,55102030,다각적 투자 서비스,25875649074,"5조 2,225억원",CNY
688403,Union Semiconductor Hefei Co Ltd Class A,57101020,반도체 장비 및 테스트,25751035574,"5조 1,973억원",CNY
600295,Inner Mongolia ERDOS Resources Co Ltd Class A,51201020,철 및 강철,25722002827,"5조 1,915억원",CNY
603588,Beijing GeoEnviron Engineering & Technology Inc Class A,52203010,환경 서비스 및 장비,25681732945,"5조 1,833억원",CNY
688143,Yangtze Optical Electronic Co Ltd Class A,57101010,반도체,25372393610,"5조 1,209억원",CNY
688568,Geovis Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅,25300950735,"5조 1,065억원",CNY
600977,China Film Group Co Ltd Class A,53302030,엔터테인먼트 제작,25297850000,"5조 1,059억원",CNY
600862,Avic Aviation High Technology Co Ltd Class A,52101010,항공우주 및 방위,25297771783,"5조 1,058억원",CNY
600884,Ningbo Shanshan Co Ltd Class A,57104010,전자 장비 및 부품,25285898045,"5조 1,035억원",CNY
603444,G-bits Network Technology (Xiamen) Co.  Ltd. Class A,57201030,온라인 서비스,25243201790,5조 948억원,CNY
600704,Wuchan Zhongda Group Co Ltd Class A,52405010,"배달, 우편, 항공 화물 및 육상 물류",25183646064,5조 828억원,CNY
