Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
GRBK,Green Brick Partners  Inc.,53203010,주택 건설,2959135885,"3조 9,993억원",USD
BHE,Benchmark Electronics Inc,57104010,전자 장비 및 부품,2953696091,"3조 9,919억원",USD
RDW,Redwire Corporation,52101010,항공우주 및 방위,2939913082,"3조 9,733억원",USD
ABM,ABM Industries Inc,52203040,경영 지원 서비스,2927212724,"3조 9,561억원",USD
WOR,Worthington Enterprises  Inc.,52102010,산업용 기계 및 장비,2883744649,"3조 8,974억원",USD
BANC,Banc of California  Inc.,55101010,은행,2867544085,"3조 8,755억원",USD
REZI,Resideo Technologies  Inc.,57102010,통신 및 네트워킹,2866878497,"3조 8,746억원",USD
IHS,IHS Holding Limited,57401020,무선 통신 서비스,2855595795,"3조 8,593억원",USD
DAC,Danaos Corporation,52405020,해양 화물 및 물류,2839756452,"3조 8,379억원",USD
WRBY,Warby Parker Inc.,53403090,기타 전문 소매,2835568759,"3조 8,323억원",USD
GPK,Graphic Packaging Holding Company,51302020,종이 포장재,2833404954,"3조 8,293억원",USD
GRDN,Guardian Pharmacy Services  Inc.,54301010,의약품 소매,2829500720,"3조 8,241억원",USD
BOH,Bank of Hawaii Corporation,55101010,은행,2820308810,"3조 8,116억원",USD
DNOW,DNOW Inc.,52102010,산업용 기계 및 장비,2813028464,"3조 8,018억원",USD
