Symbol,Name,IndustryCode,Industry
9444,TOSHIN HOLDINGS CO. LTD,57401020,무선 통신 서비스
6663,Taiyo Technolex Co Ltd,57101010,반도체
4370,Mobilus Corp,57201010,IT 서비스 및 컨설팅
2345,HODL1 Inc,57301030,블록 체인 및 암호화폐
7360,Ondeck Co Ltd,55102010,투자 은행 및 중개 서비스
6198,Career Co Ltd,52203030,고용 서비스
7356,Retty Inc,57201030,온라인 서비스
7422,Toho Lamac Co Ltd,53202030,제화
8247,Daiwa Co Ltd,53402010,백화점
522A,Coel Inc,57201010,IT 서비스 및 컨설팅
9214,Recovery International Co Ltd,56102010,의료 시설 및 서비스
9215,CaSy Co Ltd,54201030,개인 서비스
7585,Kan-Nanmaru Corp,53301020,레스토랑 및 바
7140,Petgo Corp,53403090,기타 전문 소매
302A,bstyle Holdings Inc,52203030,고용 서비스
4166,Cacco Inc,57201010,IT 서비스 및 컨설팅
8746,unbanked Inc,55102010,투자 은행 및 중개 서비스
6977,Japan Resistor Mfg. Co Ltd,52102030,전기 부품 및 장비
4288,Asgent Inc,57201010,IT 서비스 및 컨설팅
2291,Fukutome Meat Packers Ltd,54102020,식품 가공
6731,Pixela Corp,57106030,가정용 전자 제품
4378,CINC Corp,52203040,경영 지원 서비스
3908,Collabos Corp,57201010,IT 서비스 및 컨설팅
171A,Zero Japan Co Ltd,53403090,기타 전문 소매
9914,Uematsu Shokai Co Ltd,52102010,산업용 기계 및 장비
387A,Fuller Inc,57201010,IT 서비스 및 컨설팅
6775,TB Group Inc,57104010,전자 장비 및 부품
2926,Shinozakiya Inc,54102020,식품 가공
2156,Saylor Advertising Inc,53302010,광고 및 마케팅
139A,Higashinihon Jisho Co Ltd,60101010,"부동산 임대, 개발 및 운영"
527A,NOSE SHOP Inc,53403090,기타 전문 소매
7369,Meiho Holdings Inc,52201020,건설 및 엔지니어링
7067,Branding Technology Inc,53302010,광고 및 마케팅
361A,Living House Co Ltd,53403030,가정용 가구 소매
3261,Grandes Inc,60101010,"부동산 임대, 개발 및 운영"
7074,Twenty-four seven Holdings Inc,54201030,개인 서비스
5131,Linkers Corp,57201010,IT 서비스 및 컨설팅
2667,ImageOne Co Ltd,53403050,컴퓨터 및 전자 제품 소매
4381,Bplats Inc,57201010,IT 서비스 및 컨설팅
469A,Fitcrew Inc,53301040,여가 및 오락시설
9557,airCloset Inc,57201030,온라인 서비스
3370,Fujita Corporation Co Ltd,53301020,레스토랑 및 바
6573,Cravia Inc,53302010,광고 및 마케팅
7837,R.C.Core Co Ltd,60101010,"부동산 임대, 개발 및 운영"
131A,CCN Group Corp,57201010,IT 서비스 및 컨설팅
4760,Alpha Co Ltd,53302010,광고 및 마케팅
168A,Itamiarts Inc,53302010,광고 및 마케팅
320A,D&I Inc,52203030,고용 서비스
5025,Mercury Inc(Shinjuku),60101020,부동산 서비스
4020,Betrend Corp,57201020,소프트웨어
5247,BTM Inc,57201010,IT 서비스 및 컨설팅
2388,Wedge Holdings Co Ltd,53302030,엔터테인먼트 제작
3667,Enish Inc,57201020,소프트웨어
3779,J Escom Holdings Inc,53302010,광고 및 마케팅
6982,Lead Co Inc,53101020,"자동차, 트럭 및 오토바이 부품"
298A,GVA TECH Inc,57201010,IT 서비스 및 컨설팅
5616,Ame Kaze Taiyo Inc,57201020,소프트웨어
4598,Delta-Fly Pharma Inc,56201040,제약
5528,Frontier House Co Ltd,60101010,"부동산 임대, 개발 및 운영"
9239,KET Inc,52203010,환경 서비스 및 장비
6696,TRaaS On Product Inc,57104010,전자 장비 및 부품
3910,MKSystem Corp,57201010,IT 서비스 및 컨설팅
7865,People Co Ltd,53205010,장난감 및 어린이 제품
3639,Voltage Inc,57201020,소프트웨어
4057,Interfactory Inc,57201020,소프트웨어
9331,Caster Co Ltd,52203030,고용 서비스
3634,Sockets Inc,57201020,소프트웨어
432A,Cliniphar Ltd,56201040,제약
591A,Saijo Co Ltd,53402010,백화점
6190,PhoenixBio Co Ltd,56202010,생명 공학 및 의학 연구
4017,Creema Ltd,53402010,백화점
3223,SLD Entertainment Inc,53301020,레스토랑 및 바
9425,ReYuu Japan Inc,53403050,컴퓨터 및 전자 제품 소매
5536,Kyobashi Art Residence Co Ltd,60101010,"부동산 임대, 개발 및 운영"
5341,Asahi Eito Holdings Co Ltd,53203020,건설 자재 및 비품
5249,Asakawa Systems Co Ltd,57201010,IT 서비스 및 컨설팅
207A,Rising Corp Inc,53203010,주택 건설
