Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
00367,Chuang's Consortium International Ltd,60101010,"부동산 임대, 개발 및 운영",389704873,672억원,HKD
01098,Road King Infrastructure Limited,60101010,"부동산 임대, 개발 및 운영",389655014,671억원,HKD
02226,Honworld Group Ltd,54102020,식품 가공,387762500,668억원,HKD
02440,MemeStrategy Inc,57201010,IT 서비스 및 컨설팅,385751911,665억원,HKD
01401,Future Machine Ltd,57106020,전화 및 소형 장치,382500000,659억원,HKD
00556,Pan Asia Environmental Protection Group Ltd,52203010,환경 서비스 및 장비,381831920,658억원,HKD
02178,Petro-king Oilfield Services Ltd,50103010,오일 및 가스 시추,381595105,658억원,HKD
00673,China Health Group Ltd,56101020,"의료 장비, 물품 및 유통",381463003,657억원,HKD
00320,Computime Group Ltd,52102010,산업용 기계 및 장비,379143000,653억원,HKD
01792,CMON Ltd,57201020,소프트웨어,377712000,651억원,HKD
01292,Changan Minsheng Logistics Co.  Ltd. Class H,52405010,"배달, 우편, 항공 화물 및 육상 물류",375839040,648억원,HKD
01355,Biosysen Ltd,53301010,"호텔, 모텔 및 크루즈 라인",375815525,648억원,HKD
03623,China Success Finance Group Holdings Ltd,55101050,기업 금융 서비스,375244685,647억원,HKD
02347,Yoho Group Holdings Ltd,57201030,온라인 서비스,375168200,646억원,HKD
06911,Puer Lancang Ancient Tea Co Ltd Class H,54102020,식품 가공,375000000,646억원,HKD
02023,China Ludao Technology Co Ltd,51101030,특수 화학제,373768000,644억원,HKD
02336,Shuoao International Holdings Ltd,57104010,전자 장비 및 부품,372261707,641억원,HKD
00943,Zhongzheng International Co Ltd,53204030,"가전제품, 도구 및 가정 용품",370908221,639억원,HKD
09983,Central China New Life Ltd,60101020,부동산 서비스,370254330,638억원,HKD
01960,TBK & Sons Holdings Ltd,52201020,건설 및 엔지니어링,370000000,638억원,HKD
02482,Logory Logistics Technology Co Ltd Class H,57201020,소프트웨어,369377168,637억원,HKD
00146,Tai Ping Carpets International Ltd,53204040,가정용 가구,369206229,636억원,HKD
02170,Suzhou Basecare Medical Corp Ltd Class H,56102010,의료 시설 및 서비스,367892470,634억원,HKD
03778,China Weaving Materials Holdings Ltd,53202010,직물 및 가죽제품,365686200,630억원,HKD
02031,Ausupreme International Holdings Ltd,53403090,기타 전문 소매,358140000,617억원,HKD
08350,Well Link Securities Holdings Ltd,55102010,투자 은행 및 중개 서비스,356274000,614억원,HKD
01638,Kaisa Group Holdings Ltd,60101010,"부동산 임대, 개발 및 운영",354237911,610억원,HKD
03368,PARKSON Retail Group Ltd,53402010,백화점,347758257,599억원,HKD
02185,Shanghai Bio-heart Biological Technology Co Ltd Class H,56101020,"의료 장비, 물품 및 유통",344435197,594억원,HKD
00021,Great China Holdings Hong Kong Ltd,60101010,"부동산 임대, 개발 및 운영",337894840,582억원,HKD
00379,China Ever Grand Financial Leasing Group Co Ltd,56101020,"의료 장비, 물품 및 유통",290216075,500억원,HKD
02017,Chanhigh Holdings Ltd,52201020,건설 및 엔지니어링,402026300,693억원,HKD
01399,Veson Holdings Ltd,52102030,전기 부품 및 장비,381500436,657억원,HKD
01945,Zero2ipo Holdings Inc,55102020,투자 관리 및 펀드 운영,380760562,656억원,HKD
02216,Broncus Holding Corp,56101010,첨단 의료 장비 및 기술,368955359,636억원,HKD
00252,Southeast Asia Properties & Finance Ltd,51302010,용기(종이 제외) 및 포장재,365180455,629억원,HKD
01556,Chinney Kin Wing Holdings Ltd,52201020,건설 및 엔지니어링,364500000,628억원,HKD
06118,Austar Lifesciences Ltd,56101020,"의료 장비, 물품 및 유통",363933220,627억원,HKD
00082,Crazy Sports Group Ltd,57201020,소프트웨어,362090835,624억원,HKD
02885,Peiport Holdings Ltd,57102010,통신 및 네트워킹,362000000,624억원,HKD
01303,Huili Resources Group Ltd,50101010,석탄,361740302,623억원,HKD
02177,UNQ Holdings Ltd,57201030,온라인 서비스,361650446,623억원,HKD
02680,Austrax Holdings Limited,55102030,다각적 투자 서비스,360000000,620억원,HKD
00037,Far East Hotels and Entertainment Ltd,53301010,"호텔, 모텔 및 크루즈 라인",357451660,616억원,HKD
06083,World-Link Logistics (Asia) Holding Ltd,52405030,지상 화물 및 물류,356308611,614억원,HKD
01420,Chuan Holdings Ltd,52201020,건설 및 엔지니어링,355802568,613억원,HKD
06677,Sino-Ocean Service Holding Ltd,60101020,부동산 서비스,355200000,612억원,HKD
01661,China Frontier Technology Group,53302010,광고 및 마케팅,353947212,610억원,HKD
08328,Xinyi Electric Storage Holdings Ltd,50201010,재생 가능 에너지 장비 및 서비스,353490133,609억원,HKD
02528,Forward Fashion (International) Holdings Co Ltd,53403040,의류 및 액세서리 소매,352000000,607억원,HKD
01705,B & S International Holdings Ltd,54301020,식품 소매 및 유통,352000000,607억원,HKD
03860,EPS Creative Health Technology Group Ltd,53202020,의류 및 액세서리,349457903,602억원,HKD
08195,Legendary Education Group Ltd,63103010,전문 및 비즈니스 교육,348585169,601억원,HKD
06885,Henan Jinma Energy Co Ltd Class H,50102030,"오일, 가스 정제 및 마케팅",348023650,600억원,HKD
01284,New Media Lab Ltd,53302010,광고 및 마케팅,348000000,600억원,HKD
01251,SPT Energy Group Inc,50103020,오일 관련 서비스 및 장비,347837632,599억원,HKD
01226,China Investment and Finance Group Ltd,55102010,투자 은행 및 중개 서비스,346581144,597억원,HKD
01667,Dimmi Life Holdings Ltd,52201020,건설 및 엔지니어링,345600000,596억원,HKD
01159,Smart Digital Technology Group Ltd,53302030,엔터테인먼트 제작,344711244,594억원,HKD
08512,Hyfusin Group Holdings Ltd,54201010,가정용 제품,344437500,594억원,HKD
01650,Hygieia Group Ltd,52203040,경영 지원 서비스,344000000,593억원,HKD
00756,Summi (Group) Holdings Ltd,54101030,무알콜 음료,343963848,593억원,HKD
01641,Hongxing Coldchain (Hunan) Co Ltd Class H,52405030,지상 화물 및 물류,343920500,593억원,HKD
01268,China MeiDong Auto Holdings Ltd,53403010,"자동차 차량, 부품 및 서비스 소매",343293036,592억원,HKD
08305,Sheng Tang Holdings Ltd,52201020,건설 및 엔지니어링,342242000,590억원,HKD
01073,Da Yu Financial Holdings Ltd,55102020,투자 관리 및 펀드 운영,341799057,589억원,HKD
00311,Luen Thai Holdings Ltd,53202020,의류 및 액세서리,341257180,588억원,HKD
02116,Jiangsu Innovative Ecological New Materials Ltd,51101030,특수 화학제,340800000,587억원,HKD
01767,TS Wonders Holding Ltd,54102020,식품 가공,340000000,586억원,HKD
03768,Kunming Dianchi Water Treatment Co Ltd Class H,59103010,수자원 유틸리티,339606630,585억원,HKD
02176,CCID Consulting Co Ltd Class H,52203040,경영 지원 서비스,339500000,585억원,HKD
01455,Fourace Industries Group Holdings Ltd,53204030,"가전제품, 도구 및 가정 용품",338819063,584억원,HKD
00439,Genesis Scale Holdings Ltd,57201010,IT 서비스 및 컨설팅,338631087,584억원,HKD
02129,Legion Consortium Ltd,52405030,지상 화물 및 물류,337500000,582억원,HKD
01868,Neo-Neon Holdings Ltd,53203020,건설 자재 및 비품,337208932,581억원,HKD
01587,Shineroad International Holdings Ltd,54102020,식품 가공,336600000,580억원,HKD
00496,Kasen International Holdings Ltd,53204040,가정용 가구,334250526,576억원,HKD
06908,HG Semiconductor Ltd,52102030,전기 부품 및 장비,333978527,576억원,HKD
00124,Guangdong Land Holdings Ltd,60101010,"부동산 임대, 개발 및 운영",333749686,575억원,HKD
02250,BDuck Semk Holdings International Ltd,53302030,엔터테인먼트 제작,332757150,573억원,HKD
02227,Solis Holdings Ltd,52201020,건설 및 엔지니어링,329616000,568억원,HKD
00213,National Electronics Holdings Ltd,53202020,의류 및 액세서리,328510426,566억원,HKD
08375,Data Union Capital International Holdings Group Ltd,52102030,전기 부품 및 장비,328320000,566억원,HKD
00096,Yusei Holdings Ltd,53101020,"자동차, 트럭 및 오토바이 부품",327823044,565억원,HKD
01947,Meihao Medical Group Co Ltd,56102010,의료 시설 및 서비스,327084121,564억원,HKD
01545,Design Capital Ltd,53204040,가정용 가구,326000000,562억원,HKD
02119,Tsit Wing International Holdings Ltd,54102020,식품 가공,324329180,559억원,HKD
00228,China Energy Development Holdings Ltd,50102020,"오일, 가스 탐사 및 생산",321621282,554억원,HKD
