Symbol,Name,IndustryCode,Industry
002865,Hainan Drinda New Energy Technology Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002204,Dalian Huarui Heavy Industry Group Co.  Ltd Class A,52102020,중장비 및 차량
002324,Shanghai Pret Composites Co Ltd Class A,51101010,상품 화학
000828,Dongguan Development Holdings Co Ltd Class A,52201020,건설 및 엔지니어링
300303,Shenzhen Jufei Optoelectronics Co Ltd Class A,57101010,반도체
300191,Sino Geophysical Co Ltd Class A,50102020,"오일, 가스 탐사 및 생산"
002891,Yantai China Pet Foods Co Ltd Class A,54102020,식품 가공
301013,Shenzhen Lihexing Co Ltd Class A,57104010,전자 장비 및 부품
300263,Longhua Technology Group Luoyang Co Ltd Class A,52102010,산업용 기계 및 장비
002635,Suzhou Anjie Technology Co Ltd Class A,57104010,전자 장비 및 부품
301658,Shenzhen SOFARSOLAR Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002309,Jiangsu Zhongli Group Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
301458,Juneway Electronic Technology Co Ltd Class A,57104010,전자 장비 및 부품
003043,Suzhou Huaya Intelligence Technology Co Ltd Class A,51201020,철 및 강철
002169,Guangzhou Zhiguang Electric Co Ltd Class A,52102040,중전기장비
300328,Dongguan Eontec Co Ltd Class A,51201050,특수 채굴 및 금속
002706,Shanghai Liangxin Electrical Co Ltd Class A,52102030,전기 부품 및 장비
300790,DongGuan YuTong Optical Technology Co Ltd Class A,57106030,가정용 전자 제품
300181,Zhejiang Jolly Pharmaceutical Co Ltd Class A,56201040,제약
301127,Wuhan Tianyuan Group Co Ltd Class A,52203010,환경 서비스 및 장비
301155,Jiangsu Haili Wind Power Equipment Technology Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002565,Shanghai Shunho New Materials Technology Co Ltd Class A,51302020,종이 포장재
301091,Shenzhen Urban Transport Planning Center Co Ltd Class A,52201020,건설 및 엔지니어링
000727,TPV Technology Co Ltd Class A,57104010,전자 장비 및 부품
301607,Zhejiang EV-Tech Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
002580,Shandong Sacred Sun Power Sources Co Ltd Class A,52102030,전기 부품 및 장비
002626,Xiamen Kingdomway Group Co Class A,54102020,식품 가공
301061,MotoMotion China Corp Class A,53204040,가정용 가구
002881,MeiG Smart Technology Co Ltd Class A,57102010,통신 및 네트워킹
301584,Shanghai C&D INNOSTIC Medical Technology Group Co Ltd Class A,56101020,"의료 장비, 물품 및 유통"
002549,Hunan Kaimeite Gases Co Ltd Class A,51101010,상품 화학
300378,Digiwin Co Ltd Class A,57201020,소프트웨어
301248,Nexwise Intelligence China Ltd Class A,57201010,IT 서비스 및 컨설팅
300159,Xinjiang Machinery Research Institute Co Ltd Class A,52102020,중장비 및 차량
002387,Visionox Technology Inc Class A,57104010,전자 장비 및 부품
002426,Suzhou Victory Precision Manufacture Co Ltd Class A,57104010,전자 장비 및 부품
300740,SYoung Group Co Ltd Class A,54201020,개인 생활 필수 용품
300415,Yizumi Holdings Co Ltd Class A,52102010,산업용 기계 및 장비
002588,Stanley Agriculture Group Co Ltd Class A,51101020,농화학제
300497,Jiangxi Fushine Pharmaceutical Co Ltd Class A,56201040,제약
301357,North Long Dragon New Materials Tech Co Ltd Class A,52101010,항공우주 및 방위
000922,Harbin Electric Corporation Jiamusi Electric Machine Co Ltd Class A,52102040,중전기장비
000950,C.Q. Pharmaceutical Holding Co Ltd Class A,56201040,제약
002557,Chacha Food Co Ltd Class A,54102020,식품 가공
300382,Suzhou SLAC Precision Equipment Co Ltd Class A,52102010,산업용 기계 및 장비
301310,Wuxi Xinhongye Wire & Cable Co Ltd Class A,52102030,전기 부품 및 장비
300772,Windey Energy Technology Group Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
002100,Tecon Biology Co Ltd Class A,54102010,어업 및 농업
002173,Innovative Medical Management Co Ltd Class A,56102010,의료 시설 및 서비스
000516,XiAn International Medical Investment Co Ltd Class A,56102010,의료 시설 및 서비스
300938,EMTEK (Shenzhen) Co Ltd Class A,52203040,경영 지원 서비스
002761,Zhejiang Construction Investment Group Co Ltd Class A,52201020,건설 및 엔지니어링
301216,Wankai New Materials Co.  Ltd. Class A,51101010,상품 화학
301630,Tongyu Advanced Materials (Guangdong) Co Ltd Class A,51101010,상품 화학
000793,Huawen Media Group Class A,53302020,방송
002970,Streamax Technology Co Ltd Class A,57107010,통합 하드웨어 및 소프트웨어
001208,Hunan Valin Wire & Cable Co Ltd Class A,52102030,전기 부품 및 장비
000031,Grandjoy Holdings Group Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
002062,Hongrun Construction Group Co Ltd Class A,52201020,건설 및 엔지니어링
000401,BBMG Jidong Cement Group Co Ltd Class A,51202010,건설 자재
002705,Guangdong Xinbao Electrical Appliances Holdings Co Ltd Class A,53204030,"가전제품, 도구 및 가정 용품"
002639,Fujian Snowman Group Co Ltd Class A,52102010,산업용 기계 및 장비
002115,Sunwave Communications Co Ltd Class A,53302010,광고 및 마케팅
301090,China Resources Chemical Innovative Materials Co Ltd Class A,51101010,상품 화학
300486,OMH SCIENCE Group Co Ltd Class A,52102010,산업용 기계 및 장비
301099,Shanghai Yct Electronics Group Co Ltd Class A,57101010,반도체
002345,Guangdong CHJ Industry Co Ltd Class A,53202020,의류 및 액세서리
000049,Shenzhen Desay Battery Technology Co Ltd Class A,52102030,전기 부품 및 장비
300766,Merit Interactive Co Ltd Class A,52203040,경영 지원 서비스
002971,Hubei Heyuan Gas Co Ltd Class A,51101010,상품 화학
002882,Jinlongyu Group Co Ltd Class A,52102030,전기 부품 및 장비
301328,Wcon Electronics Co Ltd Class A,57104010,전자 장비 및 부품
000795,Innuovo Technology Co Ltd Class A,51101010,상품 화학
300276,SanFeng Intelligent Equipment Group Co Ltd Class A,52102010,산업용 기계 및 장비
000923,HBIS Resources Co Ltd Class A,51201020,철 및 강철
002943,Hunan Yujing Machinery Co Ltd Class A,52102010,산업용 기계 및 장비
000006,Shenzhen Zhenye (Group) Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
