Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
JD,JD.com  Inc. ADR,53402010,백화점,34177345192,"46조 1,907억원",USD
DXCM,Dexcom Inc,56101020,"의료 장비, 물품 및 유통",33785109290,"45조 6,606억원",USD
EXPE,Expedia Group  Inc.,53301040,여가 및 오락시설,33689429580,"45조 5,313억원",USD
ALNY,Alnylam Pharmaceuticals  Inc.,56201040,제약,33673064545,"45조 5,091억원",USD
RPRX,Royalty Pharma PLC,56201040,제약,33649070458,"45조 4,767억원",USD
STLD,Steel Dynamics Inc,51201020,철 및 강철,33537339311,"45조 3,257억원",USD
BIIB,Biogen Inc.,56201040,제약,33297840989,45조 20억원,USD
KMB,Kimberly-Clark Corporation,54201020,개인 생활 필수 용품,32895392649,"44조 4,581억원",USD
ACGL,Arch Capital Group Ltd.,55301020,손해보험,32399705514,"43조 7,882억원",USD
NTRS,Northern Trust Corporation,55102020,투자 관리 및 펀드 운영,31724510230,"42조 8,757억원",USD
HBAN,Huntington Bancshares Inc,55101010,은행,31700308620,"42조 8,430억원",USD
BIDU,Baidu  Inc. ADR,57201030,온라인 서비스,31582886134,"42조 6,843억원",USD
GEHC,GE HealthCare Technologies Inc.,56101010,첨단 의료 장비 및 기술,29933247920,"40조 4,548억원",USD
ERIC,Telefonaktiebolaget LM Ericsson ADR,57102010,통신 및 네트워킹,29475487014,"39조 8,361억원",USD
RYAAY,Ryanair Holdings PLC ADR,52406010,항공사,28936704040,"39조 1,080억원",USD
ON,ON Semiconductor Corp,57101010,반도체,28653342666,"38조 7,250억원",USD
WTW,Willis Towers Watson Public Limited Company,55301010,복합보험 및 중개인,28022249551,"37조 8,721억원",USD
ECHO,EchoStar Corporation,57401020,무선 통신 서비스,27761280468,"37조 5,194억원",USD
ROIV,Roivant Sciences Ltd,56201040,제약,27607185633,"37조 3,111억원",USD
SMCI,Super Micro Computer Inc,57106010,컴퓨터 하드웨어,27290342051,"36조 8,829억원",USD
SYM,Symbotic Inc,52102010,산업용 기계 및 장비,27258412980,"36조 8,397억원",USD
VRSN,VeriSign  Inc.,57201010,IT 서비스 및 컨설팅,27037626000,"36조 5,414억원",USD
TSEM,Tower Semiconductor Ltd.,57101010,반도체,26744264910,"36조 1,449억원",USD
TCOM,Trip.com Group Limited ADR,53301040,여가 및 오락시설,26699700197,36조 846억원,USD
CPRT,Copart Inc,57201030,온라인 서비스,26658741624,36조 293억원,USD
ZM,Zoom Communications  Inc.,57201020,소프트웨어,26537728515,"35조 8,657억원",USD
CTSH,Cognizant Technology Solutions Corporation,57201010,IT 서비스 및 컨설팅,26432066184,"35조 7,229억원",USD
INSM,Insmed Incorporated,56202010,생명 공학 및 의학 연구,26384853192,"35조 6,591억원",USD
GFS,GLOBALFOUNDRIES Inc.,57101020,반도체 장비 및 테스트,26312614382,"35조 5,615억원",USD
INCY,Incyte Corp,56201040,제약,25728424900,"34조 7,720억원",USD
FFIV,F5  Inc.,57201010,IT 서비스 및 컨설팅,25670800416,"34조 6,941억원",USD
