Symbol,Name,IndustryCode,Industry
688317,Shanghai ZJ Bio-Tech Co Ltd Class A,56101020,"의료 장비, 물품 및 유통"
600716,Jiangsu Phoenix Property Investment Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
603815,Anhui Gourgen Traffic Construction Co Ltd Class A,52201020,건설 및 엔지니어링
600318,Anhui Xinli Finance Co Ltd Class A,55101050,기업 금융 서비스
600622,Everbright Jiabao Co.  Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
605399,Jiangxi Chenguang New Materials Co Ltd Class A,51101010,상품 화학
688148,Guangdong Fangyuan New Materials Group Co Ltd Class A,51101030,특수 화학제
605136,Shanghai Lily & Beauty Cosmetics Co Ltd Class A,57201030,온라인 서비스
603987,Shanghai Kindly Enterprise Development Group Co Ltd Class A,56101020,"의료 장비, 물품 및 유통"
605077,Zhejiang Huakang Pharmaceutical Co Ltd Class A,54102020,식품 가공
600843,Shang Gong Group Co Ltd Class A,52102010,산업용 기계 및 장비
605108,TongQingLou Catering Co Ltd Class A,53301020,레스토랑 및 바
600218,Anhui Quanchai Engine Co Ltd Class A,52102010,산업용 기계 및 장비
605138,Sunrise Manufacture Group Co Ltd Class A,53202020,의류 및 액세서리
603230,Inner Mongolia Xinhua Distribution Group Co Ltd Class A,53302040,소비자 출판
688579,Dareway Intelligent Technology Co Ltd Class A,57201020,소프트웨어
688682,Shanghai Hollywave Electronic System Co Ltd Class A,52101010,항공우주 및 방위
688687,Beijing Kawin Technology Share-Holding Co Ltd Class A,56201040,제약
603258,Hangzhou Electronic Soul Network Technology Co Ltd Class A,57201020,소프트웨어
688162,Jee Technology Co Ltd Class A,52102010,산업용 기계 및 장비
600668,Zhe Jiang Jian Feng Group Co Ltd Class A,51202010,건설 자재
603600,UE Furniture Co Ltd Class A,52203060,비즈니스 지원 용품
600053,Kunwu Jiuding Investment Holdings Co Ltd Class A,55102020,투자 관리 및 펀드 운영
603808,Shenzhen Ellassay Fashion Co Ltd Class A,53202020,의류 및 액세서리
600594,Guizhou Yibai Pharmaceutical Co Ltd Class A,56201040,제약
600738,Lanzhou Lishang Guochao Industrial Group Co Ltd Class A,53402010,백화점
603896,Zhejiang Shouxiangu Pharmaceutical Co Ltd Class A,56201040,제약
688159,Shenzhen Neoway Technology Co Ltd Class A,57102010,통신 및 네트워킹
600838,Shanghai Join Buy Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
603001,Zhejiang Aokang Shoes Co Ltd Class A,53202030,제화
600136,Wuhan MC Culture & Sports Co Ltd Class A,57201030,온라인 서비스
603008,Sleemon Healthy Sleep Technology Co Ltd Class A,53204040,가정용 가구
600530,Shanghai Jiaoda Onlly Co Ltd Class A,54102020,식품 가공
688391,Hi Trend Technology Shanghai Co Ltd Class A,57101010,반도체
600620,Shanghai Tianchen Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
600616,Shanghai Jinfeng Wine Co Ltd Class A,54101020,증류주 및 포도주
688152,Hunan Kylinsec Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅
600289,Bright Oceans Inter-Telecom Corp Class A,57201010,IT 서비스 및 컨설팅
600470,Anhui Liuguo Chemical Co Ltd Class A,51101020,농화학제
600419,Xinjiang Terun Dairy Co Ltd Class A,54102020,식품 가공
603006,Shanghai Lianming Machinery Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
605089,Suzhou Weizhixiang Food Co Ltd Class A,54102020,식품 가공
601996,Guangxi Fenglin Wood Industry Group Co Ltd Class A,51301010,임업 및 목재 제품
600785,Yinchuan Xinhua Commercial Group Co Ltd Class A,54301020,식품 소매 및 유통
600613,Shanghai Shenqi Pharmaceutical Investment Management Co Ltd Class A,56201040,제약
600405,Beijing Dynamic Power Co.  Ltd. Class A,52102030,전기 부품 및 장비
603585,Suli Co Ltd Class A,51101020,농화학제
600624,Shanghai Fudan Forward S&T Co Ltd Class A,56201040,제약
603970,Sino-Agri Leading Biosciences Co Ltd Class A,51101020,농화학제
688292,Beijing Haohan Data Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅
600876,Triumph New Energy Co Ltd Class A,51101010,상품 화학
600386,Beijing Bashi Media Co Ltd Class A,53403010,"자동차 차량, 부품 및 서비스 소매"
600257,Dahu Health Industry Co Ltd Class A,54102010,어업 및 농업
603188,Jiangsu Yabang Dyestuff Co Ltd Class A,51101030,특수 화학제
603895,Shanghai Tianyong Engineering Co Ltd Class A,52102010,산업용 기계 및 장비
688357,Luoyang Jalon Micro-Nano New Materials Co Ltd Class A,51101010,상품 화학
600661,Shanghai Xinnanyang Only Education & Technology Co Ltd Class A,63101010,기타 교육 서비스 제공
601798,Lanpec Technologies Ltd Class A,50103020,오일 관련 서비스 및 장비
603080,Xinjiang Torch Gas Co Ltd Class A,59102010,천연가스 유틸리티
600833,Shanghai No.1 Pharmacy Co Ltd Class A,54301010,의약품 소매
605266,JZJ Chain Drugstore Corp Class A,54301010,의약품 소매
600537,EGing Photovoltaic Technology Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
688246,Goodwill E-Health Info Co Ltd Class A,56101010,첨단 의료 장비 및 기술
603863,Guangdong Songyang Recycle Resources Co Ltd Class A,51302020,종이 포장재
603628,Clenergy Technology Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
601010,Wenfeng Great World Chain Development Corp Class A,53402010,백화점
688026,Guangzhou Jet Bio-Filtration Co Ltd Class A,56101020,"의료 장비, 물품 및 유통"
688435,Shanghai Information2 Software Inc Class A,57201020,소프트웨어
603189,Shanghai Wondertek Software Co Ltd Class A,57201020,소프트웨어
600381,Qinghai Spring Medicinal Resources Technology Co Ltd Class A,56201040,제약
603801,Zbom Home Collection Co Ltd Class A,53203020,건설 자재 및 비품
600858,Inzone Group Co Ltd Class A,53402010,백화점
603959,Hunan Baili Engineering Sci & Tech Co Ltd Class A,52201020,건설 및 엔지니어링
600560,Beijing AriTime Intelligent Control Co Ltd Class A,52102010,산업용 기계 및 장비
605199,Hainan Huluwa Pharmaceutical Group Co Ltd Class A,56201040,제약
603818,QuMei Home Furnishings Group Co Ltd Class A,53204040,가정용 가구
603378,Asia Cuanon Technology Shanghai Co Ltd Class A,51101010,상품 화학
688560,Crown Advanced Material Co Ltd Class A,51101010,상품 화학
600992,Guizhou Wire Rope Co Ltd Class A,51201020,철 및 강철
603136,Jiangsu Tianmu Lake Tourism Co Ltd Class A,53301040,여가 및 오락시설
600831,Shaanxi Broadcast & TV Network Intermediary Group Co Ltd Class A,53302020,방송
688369,BeiJing Seeyon Internet Software Corp Class A,57201020,소프트웨어
603332,Suzhou Longjie Special Fiber Co Ltd Class A,51101030,특수 화학제
688066,Piesat Information Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅
603180,GoldenHome Living Co Ltd Class A,53204040,가정용 가구
600807,Jinan High-tech Development Co Ltd Class A,56101020,"의료 장비, 물품 및 유통"
688201,Beijing Infosec Technologies Co Ltd Class A,57201020,소프트웨어
600239,Yunnan Metropolitan Real Estate Development Co Ltd Class A,60101020,부동산 서비스
603982,Nanjing Chervon Auto Precision Technology Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
600187,Heilongjiang Interchina Water Treatment Co Ltd Class A,59103010,수자원 유틸리티
603377,Eastern Pioneer Driving School Co Ltd Class A,54201030,개인 서비스
600837,Haitong Securities Co Ltd Class A,55102010,투자 은행 및 중개 서비스
600984,Shaanxi Construction Machinery Co Ltd Class A,52203040,경영 지원 서비스
600491,Long Yuan Construction Group Co Ltd Class A,52201020,건설 및 엔지니어링
600965,Fortune Ng Fung Food Hebei Co Ltd Class A,54102020,식품 가공
600439,Henan Rebecca Hair Products Co Ltd Class A,54201020,개인 생활 필수 용품
603616,Beijing Hanjian Heshan Pipeline Co Ltd Class A,51202010,건설 자재
603168,Zhejiang Shapuaisi Pharmaceutical Co Ltd Class A,56201040,제약
600802,Fujian Cement Inc Class A,51202010,건설 자재
600287,Soho Fashion Group Co Ltd Class A,53202020,의류 및 액세서리
600097,Shanghai Kaichuang Marine International Co Ltd Class A,54102010,어업 및 농업
603208,Jiangshan Oupai Door Industry Co Ltd Class A,53203020,건설 자재 및 비품
600238,Hainan Yedao Group Co Ltd Class A,54101020,증류주 및 포도주
603718,Shanghai Hile Bio-Technology Co Ltd Class A,56201040,제약
600080,Ginwa Enterprise Group Inc Class A,56201040,제약
600082,Tianjin Hi-Tech Development Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
600818,Zhonglu Co Ltd Class A,53205020,오락용 제품
600778,Xinjiang Youhao Group Co Ltd Class A,54301020,식품 소매 및 유통
600180,CCS Supply Chain Management Co Ltd Class A,50101010,석탄
600697,Chang Chun Eurasia Group Co Ltd Class A,53402010,백화점
600119,Y U D Yangtze River Investment Industry Co Ltd Class A,52405010,"배달, 우편, 항공 화물 및 육상 물류"
600561,Jiangxi Changyun Co Ltd Class A,52406020,지상 및 해상 여객 운송
688022,Suzhou Harmontronics Automation Technology Co Ltd Class A,52102010,산업용 기계 및 장비
688089,Cabio Biotech Wuhan Co Ltd Class A,54102020,식품 가공
603359,Dongzhu Ecological Environment Protection Co Ltd Class A,52201020,건설 및 엔지니어링
688121,Shanghai Supezet Engineering Technology Corp Ltd Class A,50103020,오일 관련 서비스 및 장비
688496,Suzhou Qingyue Optoelectronics Technology Co Ltd Class A,57104010,전자 장비 및 부품
600193,Shanghai Prosolar Resources Development Co Ltd Class A,52201020,건설 및 엔지니어링
